system:index,DISTRICT,ST_NM,date,ET,Temperature
0_0000000000000000027d,Nicobar,Andaman & Nicobar Island,01-01-2001,324.5653384,299.9443152
0_0000000000000000027f,North & Middle Andaman,Andaman & Nicobar Island,01-01-2001,384.5836841,298.9837028
0_0000000000000000027e,South Andaman,Andaman & Nicobar Island,01-01-2001,376.0613801,299.4376362
0_00000000000000000000,Adilabad,Andhra Pradesh,01-01-2001,21.90333008,299.0062745
0_00000000000000000013,Anantapur,Andhra Pradesh,01-01-2001,28.70600403,300.151423
0_00000000000000000077,Chittoor,Andhra Pradesh,01-01-2001,62.21714923,298.0860253
0_000000000000000000a8,East Godavari,Andhra Pradesh,01-01-2001,130.7955104,298.3727102
0_000000000000000000d2,Guntur,Andhra Pradesh,01-01-2001,72.93046481,299.8868321
0_000000000000000000e7,Hyderabad,Andhra Pradesh,01-01-2001,29.07914071,298.8223754
0_0000000000000000011d,Karimnagar,Andhra Pradesh,01-01-2001,41.0086095,299.1344102
0_00000000000000000128,Khammam,Andhra Pradesh,01-01-2001,59.1668871,299.4205368
0_00000000000000000142,Krishna,Andhra Pradesh,01-01-2001,98.9930813,299.5261232
0_00000000000000000147,Kurnool,Andhra Pradesh,01-01-2001,33.93455873,300.2554461
0_00000000000000000160,Mahbubnagar,Andhra Pradesh,01-01-2001,31.02470623,299.2001698
0_00000000000000000173,Medak,Andhra Pradesh,01-01-2001,28.85108854,299.0271096
0_0000000000000000018c,Nalgonda,Andhra Pradesh,01-01-2001,47.59589004,299.124509
0_0000000000000000019a,Nizamabad,Andhra Pradesh,01-01-2001,30.20341303,299.6569527
0_000000000000000001bd,Prakasam,Andhra Pradesh,01-01-2001,58.13374904,299.303051
0_000000000000000001db,Rangareddy,Andhra Pradesh,01-01-2001,28.96763923,298.7490999
0_00000000000000000198,Sri Potti Sriramulu Nellore,Andhra Pradesh,01-01-2001,65.1001118,299.5669229
0_00000000000000000225,Srikakulam,Andhra Pradesh,01-01-2001,63.15391215,297.6999641
0_0000000000000000025d,Visakhapatnam,Andhra Pradesh,01-01-2001,79.06800814,296.0721339
0_0000000000000000025e,Vizianagaram,Andhra Pradesh,01-01-2001,51.87966885,296.7478174
0_0000000000000000025f,Warangal,Andhra Pradesh,01-01-2001,45.8948603,299.1246397
0_00000000000000000266,West Godavari,Andhra Pradesh,01-01-2001,132.3482596,299.0954895
0_0000000000000000007c,Y.s.r.,Andhra Pradesh,01-01-2001,37.81602043,300.178266
0_00000000000000000015,Anjaw,Arunanchal Pradesh,01-01-2001,99.35602843,274.6520368
0_0000000000000000006c,Changlang,Arunanchal Pradesh,01-01-2001,159.0603894,287.9497705
0_0000000000000000009a,Dibang Valley,Arunanchal Pradesh,01-01-2001,88.65333927,270.9108667
0_000000000000000000a9,East Kameng,Arunanchal Pradesh,01-01-2001,128.38984,278.3884899
0_000000000000000000ac,East Siang,Arunanchal Pradesh,01-01-2001,144.0675464,287.3472458
0_00000000000000000149,Kurung Kumey,Arunanchal Pradesh,01-01-2001,99.67239513,275.1235276
0_00000000000000000154,Lohit,Arunanchal Pradesh,01-01-2001,148.175505,288.1923076
0_00000000000000000156,Lower Dibang Valley,Arunanchal Pradesh,01-01-2001,114.2955263,280.6902765
0_00000000000000000157,Lower Subansiri,Arunanchal Pradesh,01-01-2001,143.2846319,283.5767962
0_000000000000000001ae,Papum Pare,Arunanchal Pradesh,01-01-2001,156.4453018,283.4999516
0_0000000000000000022f,Tawang,Arunanchal Pradesh,01-01-2001,96.57259458,267.8753779
0_0000000000000000023e,Tirap,Arunanchal Pradesh,01-01-2001,170.8673715,291.2922417
0_00000000000000000250,Upper Siang,Arunanchal Pradesh,01-01-2001,101.872289,275.9091371
0_00000000000000000251,Upper Subansiri,Arunanchal Pradesh,01-01-2001,108.0290216,274.8753215
0_00000000000000000267,West Kameng,Arunanchal Pradesh,01-01-2001,117.1174187,275.4101394
0_0000000000000000026a,West Siang,Arunanchal Pradesh,01-01-2001,125.635705,278.7751837
0_00000000000000000024,Baksa,Assam,01-01-2001,68.8796132,290.2789717
0_0000000000000000003a,Barpeta,Assam,01-01-2001,43.11676414,293.4094101
0_0000000000000000005a,Bongaigaon,Assam,01-01-2001,43.68727964,293.6667966
0_00000000000000000061,Cachar,Assam,01-01-2001,160.2397911,291.8853529
0_00000000000000000073,Chirang,Assam,01-01-2001,69.05837219,290.803845
0_00000000000000000086,Darrang,Assam,01-01-2001,47.71915464,292.6425367
0_00000000000000000096,Dhemaji,Assam,01-01-2001,59.80505813,290.3007574
0_00000000000000000098,Dhubri,Assam,01-01-2001,32.08322299,293.909877
0_0000000000000000009b,Dibrugarh,Assam,01-01-2001,62.74059833,292.2829839
0_0000000000000000019e,Dima Hasao,Assam,01-01-2001,199.8603115,291.0523134
0_000000000000000000c8,Goalpara,Assam,01-01-2001,43.99507567,293.7499414
0_000000000000000000ca,Golaghat,Assam,01-01-2001,61.09863465,292.0691405
0_000000000000000000d6,Hailakandi,Assam,01-01-2001,139.7202063,293.1139374
0_00000000000000000106,Jorhat,Assam,01-01-2001,67.46114581,292.4416142
0_0000000000000000010d,Kamrup,Assam,01-01-2001,62.24917607,293.366159
0_0000000000000000010e,Kamrup Metropolitan,Assam,01-01-2001,89.66675908,293.2681284
0_0000000000000000011a,Karbi Anglong,Assam,01-01-2001,157.8463018,291.9922441
0_0000000000000000011c,Karimganj,Assam,01-01-2001,103.9500527,293.0727985
0_00000000000000000135,Kokrajhar,Assam,01-01-2001,66.15699111,291.4252191
0_0000000000000000014c,Lakhimpur,Assam,01-01-2001,62.43752036,289.4343793
0_0000000000000000016f,Marigaon,Assam,01-01-2001,59.98329309,293.430832
0_00000000000000000186,Nagaon,Assam,01-01-2001,68.84236715,293.097003
0_0000000000000000018b,Nalbari,Assam,01-01-2001,47.83342744,293.1244317
0_0000000000000000020a,Sivasagar,Assam,01-01-2001,67.85400437,292.6572138
0_0000000000000000021d,Sonitpur,Assam,01-01-2001,71.54112738,290.0255359
0_0000000000000000023d,Tinsukia,Assam,01-01-2001,93.37652545,293.2517735
0_00000000000000000247,Udalguri,Assam,01-01-2001,69.72699449,288.0007193
0_00000000000000000018,Araria,Bihar,01-01-2001,46.03320901,293.8467479
0_00000000000000000276,Arwal,Bihar,01-01-2001,52.78546581,293.1947786
0_0000000000000000001c,Aurangabad,Bihar,01-01-2001,33.61061218,293.0437631
0_0000000000000000002f,Banka,Bihar,01-01-2001,21.62675197,293.114047
0_00000000000000000040,Begusarai,Bihar,01-01-2001,75.21105412,293.4585069
0_00000000000000000045,Bhagalpur,Bihar,01-01-2001,45.39825138,293.5694584
0_0000000000000000004d,Bhojpur,Bihar,01-01-2001,54.02370713,293.0737908
0_00000000000000000060,Buxar,Bihar,01-01-2001,57.92007646,292.8311476
0_00000000000000000084,Darbhanga,Bihar,01-01-2001,47.16248133,293.6824406
0_000000000000000000c4,Gaya,Bihar,01-01-2001,34.25199572,293.169003
0_000000000000000000cd,Gopalganj,Bihar,01-01-2001,50.41217825,293.2176533
0_000000000000000000fb,Jamui,Bihar,01-01-2001,24.37379469,292.9256498
0_00000000000000000277,Jehanabad,Bihar,01-01-2001,47.15346205,293.2074179
0_0000000000000000010a,Kaimur (bhabua),Bihar,01-01-2001,38.58642836,293.0854731
0_00000000000000000122,Katihar,Bihar,01-01-2001,46.99171279,293.7939405
0_00000000000000000127,Khagaria,Bihar,01-01-2001,78.74884995,293.6236198
0_0000000000000000012f,Kishanganj,Bihar,01-01-2001,22.53870273,293.3677896
0_0000000000000000014d,Lakhisarai,Bihar,01-01-2001,48.20441581,293.0725807
0_0000000000000000015b,Madhepura,Bihar,01-01-2001,55.51620182,293.6873169
0_0000000000000000015c,Madhubani,Bihar,01-01-2001,34.33880215,293.6913751
0_0000000000000000017f,Munger,Bihar,01-01-2001,38.23040659,293.3601594
0_00000000000000000182,Muzaffarpur,Bihar,01-01-2001,59.67828081,293.6138378
0_0000000000000000018a,Nalanda,Bihar,01-01-2001,56.59308285,293.0972082
0_00000000000000000195,Nawada,Bihar,01-01-2001,40.37574594,292.9848661
0_000000000000000001b0,Pashchim Champaran,Bihar,01-01-2001,34.27239714,292.3512597
0_000000000000000001b6,Patna,Bihar,01-01-2001,60.54295264,293.2146822
0_000000000000000001c4,Purba Champaran,Bihar,01-01-2001,48.84539518,293.3258142
0_000000000000000001c8,Purnia,Bihar,01-01-2001,48.19783501,293.7949056
0_000000000000000001e4,Rohtas,Bihar,01-01-2001,53.91860854,292.9247473
0_000000000000000001ea,Saharsa,Bihar,01-01-2001,49.41654787,293.6008346
0_000000000000000001ef,Samastipur,Bihar,01-01-2001,68.58398683,293.5741858
0_000000000000000001f7,Saran (chhapra),Bihar,01-01-2001,63.91240135,293.1734201
0_00000000000000000202,Sheikhpura,Bihar,01-01-2001,44.76572727,293.0019996
0_00000000000000000203,Sheohar,Bihar,01-01-2001,50.76604854,293.5204793
0_00000000000000000214,Sitamarhi,Bihar,01-01-2001,47.45963291,293.5689814
0_00000000000000000217,Siwan,Bihar,01-01-2001,58.95813098,293.0555264
0_00000000000000000229,Supaul,Bihar,01-01-2001,42.25100542,293.8010769
0_00000000000000000256,Vaishali,Bihar,01-01-2001,59.90836728,293.5719733
0_0000000000000000006a,Chandigarh,Chandigarh,01-01-2001,51.60045952,288.8483621
0_0000000000000000003c,Bastar,Chhattisgarh,01-01-2001,39.44439842,296.6346271
